Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.42,2800,180
14863,-0.45,2849,735
14899,-0.50,2831,1433
14935,-0.49,2869,1943
14971,-0.52,2942,2187
15007,-0.54,2977,2212
15043,-0.52,2978,2095
15079,-0.60,3002,1900
15115,-0.75,3006,1680
15151,-0.90,3342,1483
15187,-0.98,3967,1387
15223,-1.00,4095,1416
15259,-0.88,3993,1482
15295,-0.90,3607,1455
15331,-0.93,3293,1268
15367,-0.89,3120,945
15403,-1.07,3071,575
15439,-1.32,3061,240
15475,-1.48,3069,-15
15511,-1.37,3055,-191
15547,-1.39,2945,-312
15583,-1.38,2851,-415
15619,-1.32,2736,-521
15655,-1.24,2647,-634
15691,-1.39,2617,-744
15727,-1.15,2559,-839
15763,-1.09,2529,-911
15799,-1.05,2559,-958
15835,-0.99,2559,-975
15871,-1.22,2543,-970
15907,-1.02,2477,-959
15943,-1.08,2405,-956
15979,-0.98,2327,-968
16015,-1.03,2307,-989
16051,-1.02,2433,-997
16087,-1.15,2753,-950
16123,-1.10,3103,-813
16159,-1.12,3187,-602
16195,-1.17,2992,-402
16231,-1.18,2726,-302
16267,-1.12,2528,-331
16303,-1.13,2391,-453
16339,-1.09,2369,-603
16375,-1.15,2431,-721
16411,-1.12,2514,-768
16447,-1.17,2493,-750
16483,-1.12,2543,-693
16519,-1.10,2608,-619
16555,-1.11,2684,-532
16591,-1.13,2814,-436
16627,-1.07,2804,-336
16663,-1.23,2679,-260
16699,-1.16,2550,-238
16735,-1.11,2539,-265
16771,-1.27,2654,-300
16807,-1.32,2876,-294
16843,-1.38,3018,-224
16879,-1.44,2967,-117
16915,-1.57,2815,-34
16951,-1.50,2800,-8
16987,-1.62,3071,-8
17023,-1.64,3577,48
17059,-1.73,3952,213
17095,-1.73,3751,432
17131,-1.64,3369,567
17167,-1.70,3071,532
17203,-1.66,2880,352
17239,-1.66,2785,109
17275,-1.60,2800,-114
17311,-1.61,2899,-262
17347,-1.68,2960,-317
17383,-1.63,2949,-302
17419,-1.62,2879,-262
17455,-1.58,2767,-237
17491,-1.63,2667,-247
17527,-1.64,2559,-290
17563,-1.67,2497,-352
17599,-1.72,2474,-411
17635,-1.77,2495,-448
17671,-1.68,2559,-450
17707,-1.70,2643,-411
17743,-1.62,2659,-343
17779,-1.68,2649,-267
17815,-1.81,2671,-202
17851,-1.65,2750,-147
17887,-1.68,3025,-78
17923,-1.62,3447,47
17959,-1.64,3716,246
17995,-1.69,3535,460
18031,-1.58,3230,579
18067,-1.66,3017,549
18103,-1.56,2901,403
18139,-1.67,2842,214
18175,-1.66,2867,46
18211,-1.64,2909,-63
18247,-1.69,2947,-108
18283,-1.69,2963,-105
18319,-1.66,2913,-80
18355,-1.78,2871,-63
18391,-1.64,2836,-62
18427,-1.64,2826,-75
18463,-1.62,2813,-92
18499,-1.67,2819,-106
18535,-1.61,2820,-111
18571,-1.57,2815,-109
18607,-1.60,2786,-105
18643,-1.64,2781,-102
18679,-1.47,2848,-96
18715,-1.59,3193,-58
18751,-1.69,3824,72
18787,-1.64,4095,319
18823,-1.58,3956,595
18859,-1.59,3430,750
18895,-1.58,3095,695
18931,-1.63,2960,473
18967,-1.62,2963,202
19003,-1.62,3090,-15
19039,-1.59,3150,-128
19075,-1.60,3152,-152
19111,-1.70,3071,-135
19147,-1.54,2983,-122
19183,-1.62,2901,-136
19219,-1.55,2851,-174
19255,-1.59,2851,-219
19291,-1.59,2831,-254
19327,-1.62,2826,-273
19363,-1.62,2817,-277
19399,-1.64,2829,-269
19435,-1.65,2813,-253
19471,-1.60,2800,-235
19507,-1.69,2783,-219
19543,-1.68,2758,-208
19579,-1.66,2859,-195
19615,-1.61,3338,-137
19651,-1.62,4095,41
19687,-1.63,4095,341
19723,-1.65,4095,638
19759,-1.68,3709,804
19795,-1.61,3238,771
19831,-1.70,2982,550
19867,-1.68,2884,238
19903,-1.65,2929,-48
19939,-1.69,2998,-238
19975,-1.62,3003,-319
20011,-1.70,2961,-327
20047,-1.68,2905,-307
20083,-1.71,2837,-291
20119,-1.59,2787,-291
20155,-1.62,2737,-304
20191,-1.72,2722,-323
20227,-1.61,2768,-333
20263,-1.68,2815,-319
20299,-1.60,2839,-283
20335,-1.58,2831,-235
20371,-1.66,2800,-192
20407,-1.63,2755,-165
20443,-1.61,2731,-157
20479,-1.64,2738,-157
20515,-1.59,2993,-140
20551,-1.55,3852,-27
20587,-1.54,4095,233
20623,-1.56,4095,554
20659,-1.57,4085,806
20695,-1.54,3322,886
20731,-1.57,2993,735
20767,-1.58,2885,425
20803,-1.63,2912,101
