Time,Pressure,rawPPGSignal,PPGSignal
14828,-0.34,2928,188
14863,-0.36,3021,771
14899,-0.29,3049,1512
14935,-0.37,3055,2063
14971,-0.34,2995,2322
15007,-0.44,2960,2320
15043,-0.32,2954,2147
15079,-0.22,2946,1893
15115,-0.34,2989,1627
15151,-0.24,3125,1395
15187,-0.20,3223,1222
15223,-0.24,3215,1096
15259,-0.27,3141,980
15295,-0.29,3066,845
15331,-0.29,3027,684
15367,-0.33,3025,514
15403,-0.26,2998,352
15439,-0.32,3007,207
15475,-0.18,3029,85
15511,-0.24,3059,-9
15547,-0.32,3029,-86
15583,-0.28,3006,-157
15619,-0.34,2981,-229
15655,-0.35,2978,-302
15691,-0.27,2969,-370
15727,-0.29,2963,-431
15763,-0.33,2995,-481
15799,-0.31,2992,-517
15835,-0.40,2971,-544
15871,-0.34,2963,-570
15907,-0.34,2949,-595
15943,-0.32,2945,-620
15979,-0.26,3024,-636
16015,-0.29,3177,-625
16051,-0.35,3280,-578
16087,-0.31,3250,-511
16123,-0.35,3143,-464
16159,-0.27,3065,-463
16195,-0.31,3046,-501
16231,-0.36,3017,-553
16267,-0.29,3007,-601
16303,-0.39,3019,-633
16339,-0.38,3031,-645
16375,-0.37,3026,-639
16411,-0.37,3033,-623
16447,-0.44,2991,-605
16483,-0.42,2960,-593
16519,-0.40,2965,-588
16555,-0.42,2969,-583
16591,-0.39,2955,-572
16627,-0.44,2961,-557
16663,-0.37,2970,-537
16699,-0.43,2975,-513
16735,-0.47,2992,-484
16771,-0.32,2995,-454
16807,-0.36,2967,-425
16843,-0.30,3011,-400
16879,-0.42,3158,-364
16915,-0.34,3314,-298
16951,-0.37,3285,-207
16987,-0.42,3126,-137
17023,-0.46,3028,-122
17059,-0.36,3021,-156
17095,-0.39,3008,-205
17131,-0.42,3005,-244
17167,-0.40,3009,-265
17203,-0.40,3019,-267
17239,-0.33,3025,-254
17275,-0.38,3025,-233
17311,-0.46,3008,-210
17347,-0.52,2982,-194
17383,-0.45,2982,-184
17419,-0.44,2974,-178
17455,-0.39,2983,-172
17491,-0.43,2995,-161
17527,-0.43,2992,-146
17563,-0.44,2969,-130
17599,-0.45,2958,-120
17635,-0.42,2910,-116
17671,-0.31,2911,-120
17707,-0.31,3018,-117
17743,-0.34,3248,-80
17779,-0.40,3357,5
17815,-0.41,3243,106
17851,-0.32,3101,164
17887,-0.38,3033,156
17923,-0.40,3019,103
17959,-0.36,2978,38
17995,-0.35,2977,-17
18031,-0.40,2995,-54
18067,-0.45,3009,-67
18103,-0.37,3029,-61
18139,-0.47,3030,-44
18175,-0.39,3003,-26
18211,-0.46,2990,-15
18247,-0.39,2981,-14
18283,-0.44,2967,-18
18319,-0.44,2986,-22
18355,-0.47,2951,-25
18391,-0.46,2927,-29
18427,-0.53,2943,-36
18463,-0.49,2960,-37
18499,-0.36,2939,-33
18535,-0.42,2943,-27
18571,-0.36,3105,-10
18607,-0.27,3331,41
18643,-0.27,3358,133
18679,-0.33,3195,218
18715,-0.34,3031,240
18751,-0.37,2949,190
18787,-0.39,2954,102
18823,-0.42,2990,22
18859,-0.40,3063,-21
18895,-0.34,3087,-25
18931,-0.38,3051,-5
18967,-0.46,3024,12
19003,-0.44,2989,15
19039,-0.47,2976,5
19075,-0.45,2943,-12
19111,-0.38,2937,-33
19147,-0.40,2960,-49
19183,-0.49,2967,-53
19219,-0.53,2971,-48
19255,-0.48,2960,-39
19291,-0.50,2957,-31
19327,-0.39,2949,-26
19363,-0.41,2958,-23
19399,-0.35,3038,-15
19435,-0.40,3264,18
19471,-0.44,3359,92
19507,-0.40,3255,178
19543,-0.38,3089,220
19579,-0.34,3002,194
19615,-0.39,2962,121
19651,-0.42,3015,41
19687,-0.35,3027,-12
19723,-0.49,3018,-37
19759,-0.46,3026,-42
19795,-0.47,3029,-37
19831,-0.50,3011,-29
19867,-0.50,2985,-26
19903,-0.47,2934,-32
19939,-0.46,2911,-50
19975,-0.42,2946,-69
20011,-0.46,2946,-78
20047,-0.38,2965,-76
20083,-0.45,2971,-65
20119,-0.38,2992,-48
20155,-0.41,2967,-32
20191,-0.31,2939,-23
20227,-0.34,2959,-23
20263,-0.27,3109,-14
20299,-0.23,3263,25
20335,-0.21,3259,94
20371,-0.25,3125,153
20407,-0.31,3009,161
20443,-0.23,2967,117
20479,-0.25,2978,52
20515,-0.25,2992,-3
20551,-0.21,3019,-34
20587,-0.20,3027,-42
20623,-0.28,3023,-34
20659,-0.30,2992,-25
20695,-0.28,2975,-22
20731,-0.24,2973,-27
20767,-0.23,2957,-35
20803,-0.28,2965,-42
20839,-0.32,2970,-46
20875,-0.29,2971,-45
20911,-0.24,2970,-40
20947,-0.28,2961,-35
20983,-0.20,2938,-34
21019,-0.15,2997,-32
21055,-0.24,3156,-14
21091,-0.22,3273,37
21127,-0.21,3225,108
21163,-0.32,3109,156
21199,-0.29,3011,153
21235,-0.28,2981,105
21271,-0.28,2980,42
21307,-0.31,3007,-8
21343,-0.37,3053,-34
21379,-0.42,3046,-35
21415,-0.35,3019,-25
21451,-0.30,3005,-18
21487,-0.46,2992,-19
21523,-0.38,2986,-25
21559,-0.42,2961,-34
21595,-0.51,2944,-45
21631,-0.43,2941,-57
21667,-0.40,2974,-64
21703,-0.34,3010,-58
21739,-0.38,3024,-40
21775,-0.39,3136,-11
21811,-0.34,3305,40
21847,-0.39,3313,113
21883,-0.40,3202,175
21919,-0.44,3071,187
21955,-0.42,2983,143
21991,-0.45,2983,66
22027,-0.43,3018,-4
22063,-0.51,3071,-45
22099,-0.45,3110,-50
22135,-0.47,3099,-31
22171,-0.47,3039,-12
22207,-0.52,3009,-8
22243,-0.43,3010,-19
22279,-0.56,2992,-36
22315,-0.52,2999,-51
22351,-0.54,2992,-60
22387,-0.54,3002,-64
22423,-0.50,3005,-61
22459,-0.59,3134,-47
22495,-0.47,3346,0
22531,-0.55,3435,85
22567,-0.50,3314,175
22603,-0.59,3158,216
22639,-0.47,3088,187
22675,-0.52,3071,116
22711,-0.60,3106,41
22747,-0.56,3154,-7
22783,-0.58,3136,-25
22819,-0.62,3118,-27
22855,-0.56,3084,-27
22891,-0.63,3083,-33
22927,-0.66,3095,-41
22963,-0.62,3047,-48
22999,-0.61,3040,-59
23035,-0.57,3024,-72
23071,-0.57,2986,-85
23107,-0.55,2982,-100
23143,-0.49,3013,-109
23179,-0.49,3152,-99
23215,-0.53,3465,-41
23251,-0.56,3583,73
23287,-0.53,3445,201
23323,-0.50,3271,269
23359,-0.54,3201,250
23395,-0.48,3187,177
23431,-0.51,3149,90
23467,-0.60,3129,14
23503,-0.68,3127,-41
23539,-0.58,3151,-73
23575,-0.59,3182,-81
23611,-0.57,3124,-74
23647,-0.56,3091,-71
23683,-0.65,3046,-80
23719,-0.57,3026,-99
23755,-0.61,3018,-121
23791,-0.55,3025,-136
23827,-0.51,3023,-141
23863,-0.64,3023,-138
23899,-0.56,3015,-130
23935,-0.51,3008,-121
23971,-0.43,3043,-110
24007,-0.44,3305,-78
24043,-0.50,3602,9
24079,-0.47,3610,148
24115,-0.48,3387,267
24151,-0.43,3227,297
24187,-0.47,3184,240
24223,-0.38,3166,143
24259,-0.49,3164,51
24295,-0.44,3177,-14
24331,-0.48,3183,-48
24367,-0.44,3165,-60
24403,-0.49,3119,-64
24439,-0.41,3095,-71
24475,-0.30,3046,-86
24511,-0.42,3024,-107
24547,-0.35,3019,-128
24583,-0.41,3033,-141
24619,-0.35,2997,-145
24655,-0.46,2991,-144
24691,-0.45,2953,-145
24727,-0.37,2949,-147
24763,-0.28,3002,-144
24799,-0.37,3243,-115
24835,-0.39,3562,-25
24871,-0.43,3664,124
24907,-0.44,3455,270
24943,-0.45,3281,334
24979,-0.45,3214,298
25015,-0.50,3147,205
25051,-0.48,3110,96
25087,-0.49,3139,4
25123,-0.53,3178,-50
25159,-0.49,3179,-67
25195,-0.53,3141,-63
25231,-0.56,3094,-60
25267,-0.46,3051,-67
25303,-0.53,3000,-87
25339,-0.61,2983,-115
25375,-0.56,3007,-138
25411,-0.50,3022,-146
25447,-0.56,3026,-139
25483,-0.52,3047,-121
25519,-0.51,3056,-98
25555,-0.49,3231,-63
25591,-0.46,3506,8
25627,-0.53,3580,125
25663,-0.52,3439,239
25699,-0.52,3257,288
25735,-0.55,3171,252
25771,-0.52,3123,163
25807,-0.55,3054,59
25843,-0.57,3067,-31
25879,-0.51,3130,-88
25915,-0.58,3138,-105
25951,-0.58,3111,-96
25987,-0.63,3050,-84
26023,-0.55,3006,-85
26059,-0.64,3008,-99
26095,-0.66,3012,-112
26131,-0.65,2997,-120
26167,-0.65,2992,-121
26203,-0.67,2992,-118
26239,-0.65,2971,-112
26275,-0.57,2966,-107
26311,-0.57,2970,-102
26347,-0.61,3091,-87
26383,-0.56,3424,-32
26419,-0.60,3643,87
26455,-0.54,3522,236
26491,-0.54,3295,332
26527,-0.58,3171,325
26563,-0.58,3150,242
26599,-0.57,3093,134
26635,-0.53,3061,35
26671,-0.50,3087,-37
26707,-0.50,3099,-77
26743,-0.58,3095,-87
26779,-0.53,3036,-85
26815,-0.58,2973,-89
26851,-0.45,2977,-103
26887,-0.49,2985,-118
26923,-0.51,2986,-124
26959,-0.45,2985,-120
26995,-0.59,2990,-111
27031,-0.52,2986,-99
27067,-0.46,2971,-87
27103,-0.47,2953,-80
27139,-0.38,2942,-77
27175,-0.36,3045,-70
27211,-0.35,3329,-30
27247,-0.40,3490,65
27283,-0.39,3360,183
27319,-0.29,3193,254
27355,-0.36,3071,243
27391,-0.41,3087,172
27427,-0.37,3057,89
27463,-0.39,3046,19
27499,-0.39,3063,-25
27535,-0.36,3071,-46
27571,-0.43,3054,-49
27607,-0.42,3024,-47
27643,-0.44,2974,-50
27679,-0.39,2962,-62
27715,5.00,2961,-77
27751,12.62,2975,-86
27787,19.81,2999,-85
27823,26.56,2987,-74
27859,31.13,2975,-61
27895,32.12,3001,-50
27931,29.62,3148,-29
27967,28.16,3361,25
28003,27.29,3387,115
28039,26.74,3261,197
28075,25.98,3121,225
28111,25.73,3070,189
28147,25.25,3055,118
28183,25.01,3024,45
28219,24.80,3033,-11
28255,24.33,3051,-46
28291,24.11,3047,-57
28327,31.11,3024,-56
28363,40.24,2970,-56
28399,49.09,2939,-66
28435,58.63,2958,-80
28471,64.95,2963,-90
28507,64.37,2973,-89
28543,61.39,3002,-79
28579,59.85,2992,-63
28615,58.73,2966,-47
28651,58.48,2951,-40
28687,57.97,2967,-40
28723,57.48,3050,-33
28759,56.86,3294,1
28795,56.27,3413,82
28831,55.99,3301,179
28867,55.61,3115,230
28903,68.12,3024,206
28939,82.07,3014,131
28989,94.95,3026,50
29038,106.45,3098,-4
29088,101.49,3121,-22
29138,98.66,3115,-12
29187,96.89,3056,1
29236,95.76,3049,3
29285,94.71,3039,-3
29334,93.89,3017,-16
29383,93.10,3024,-30
29432,92.72,3019,-40
29481,101.60,3013,-45
29531,120.58,2991,-49
29581,137.87,3113,-45
29631,141.47,3261,-14
29681,136.90,3280,45
29731,134.50,3244,96
29781,133.09,3177,131
29831,131.81,3122,145
29881,130.96,3086,139
29931,130.12,3063,120
29981,129.41,3088,94
30031,129.08,3057,69
30081,147.59,3051,47
30131,163.19,3053,29
30181,166.96,3057,17
30231,163.19,3046,10
30281,161.07,2997,6
30331,159.72,3025,3
30381,158.39,3019,2
30431,157.58,2978,2
30481,156.78,2955,1
30531,155.77,2931,-1
30581,155.12,2966,-5
30631,154.53,2971,-6
30681,171.27,2946,-3
30731,183.67,2950,0
30781,181.22,2982,4
30831,179.27,2960,11
30881,178.15,2970,19
30931,177.31,2959,25
30981,176.28,2943,30
31031,175.51,2940,32
31081,174.91,2942,31
31131,174.35,2931,30
31181,173.72,2939,28
31231,173.30,2951,26
31281,172.80,2945,26
31331,172.44,2970,27
31381,171.93,2953,29
31431,171.61,2938,30
31481,170.69,2925,29
31531,170.19,2927,26
31581,169.84,2958,22
31631,169.52,2927,20
31681,169.40,2928,17
31731,169.20,2938,15
31781,168.91,2923,12
31831,168.58,2901,9
31881,168.44,2925,6
31931,168.21,2942,3
31981,168.04,2938,4
32031,167.72,2954,6
32081,167.47,2951,9
32131,167.28,2924,12
32181,166.92,2934,13
32231,166.81,2947,12
32281,166.63,2949,12
32331,166.56,2909,11
32381,166.18,2913,7
32431,166.05,2926,3
32481,166.10,2931,0
32531,165.91,2927,-1
32581,165.75,2939,-2
32631,165.61,2938,-1
32681,165.31,2960,0
32731,165.30,2911,2
32781,164.94,2896,2
32831,164.78,2928,0
32881,164.66,2944,-2
32931,164.41,2947,-1
32981,164.34,2941,0
33031,164.15,2943,2
33081,164.05,2947,4
33131,163.96,2928,6
33181,163.80,2926,5
33231,163.65,2934,4
33281,163.64,2933,2
33331,163.70,2912,0
33381,163.61,2929,-2
33431,163.37,2951,-3
33481,163.34,2937,-3
33531,163.14,2938,-1
33581,162.99,2959,0
33631,162.77,2933,2
33681,162.85,2939,3
33731,162.74,2917,3
33781,162.46,2945,1
33831,162.33,2953,0
33881,162.19,2960,1
33931,161.98,2935,2
33981,161.82,2938,2
34031,161.66,2912,0
34081,161.49,2914,-3
34131,161.38,2917,-8
34181,161.40,2915,-12
34231,161.25,2939,-13
34281,161.03,2939,-11
34331,160.74,2961,-7
34381,160.64,2938,-1
34431,160.36,2917,2
34481,160.24,2928,3
34531,160.11,2954,2
34581,159.89,2949,3
34631,159.56,2930,5
34681,159.37,2928,4
34731,159.23,2933,2
34781,159.09,2982,2
34831,158.83,2942,4
34881,158.69,2918,5
34931,158.67,2929,2
34981,158.51,2944,0
35031,158.19,2932,-2
35081,158.03,2943,-3
35131,157.76,2945,-2
35181,157.61,2919,-2
35231,157.46,2926,-3
35281,157.11,2931,-4
35331,156.82,2934,-5
35381,156.44,2927,-5
35431,156.13,2919,-4
35481,155.53,2928,-4
35531,155.10,2925,-4
35581,154.63,2922,-4
35631,154.41,2960,-2
35681,154.11,2977,2
35731,153.57,2945,8
35781,153.00,2927,11
35831,152.59,2927,10
35881,152.35,2959,8
35931,151.75,2944,6
35981,151.25,2935,5
36031,150.91,2989,4
36081,150.47,2974,6
36131,150.19,2986,10
36181,149.63,2960,12
36231,149.34,2950,12
36281,148.96,2959,8
36331,148.90,2962,4
36381,148.52,2953,0
36431,147.99,2945,-3
36481,147.60,2935,-7
36531,147.27,2947,-11
36581,147.07,2976,-13
36631,146.62,2978,-10
36681,146.17,2960,-6
36731,145.84,2933,-4
36781,145.42,2960,-4
36831,145.14,2949,-4
36881,144.81,2951,-5
36931,144.16,2956,-5
36981,143.88,2960,-4
37031,143.79,2947,-3
37081,143.70,2956,-2
37131,143.31,2954,-2
37181,142.83,2949,-1
37231,142.40,2961,-1
37281,142.02,2976,0
37331,141.75,2951,2
37381,141.34,2959,3
37431,140.87,2957,3
37481,140.42,2966,3
37531,140.10,2962,3
37581,139.74,2962,3
37631,139.38,2955,2
37681,139.11,2947,1
37731,138.92,2945,0
37781,138.76,2960,-3
37831,138.22,2973,-3
37881,137.86,2946,-2
37931,137.64,2966,-1
37981,137.19,2977,0
38031,136.78,2974,2
38081,136.59,2963,4
38131,136.19,2966,5
38181,135.86,2967,4
38231,135.49,2969,4
38281,135.26,2957,2
38331,134.90,2970,1
38381,134.48,2972,0
38431,134.09,2963,0
38481,133.83,2981,0
38531,133.83,2985,0
38581,133.64,2975,1
38631,133.18,2979,2
38681,132.73,2977,3
38731,132.47,2961,2
38781,132.15,2941,0
38831,131.80,2944,-5
38881,131.50,2960,-9
38931,131.09,2991,-11
38981,130.79,2983,-8
39031,130.45,2966,-4
39081,130.21,2960,-1
39131,129.84,2961,0
39181,129.51,2975,0
39231,129.22,2992,0
39281,128.86,2977,2
39331,128.52,2963,4
39381,128.34,2962,3
39431,128.44,2958,1
39481,128.09,2974,0
39531,127.53,2956,-2
39581,127.36,2977,-3
39631,126.98,2964,-3
39681,126.69,2967,-2
39731,126.38,2966,-2
39781,126.07,2971,-1
39831,125.76,2960,0
39881,125.50,2971,0
39931,125.24,2976,0
39981,124.90,2982,1
40031,124.54,2999,4
40081,124.32,2983,7
40131,123.99,2953,8
40181,123.77,2960,5
40231,123.59,2960,1
40281,123.69,2961,-2
40331,123.41,2982,-4
40381,122.92,2983,-4
40431,122.49,2996,-1
40481,122.21,2987,1
40531,121.93,2963,4
40581,121.67,2967,3
40631,121.41,2979,1
40681,121.03,2970,0
40731,120.77,2971,-1
40781,120.39,2960,-2
40831,120.11,2973,-4
40881,119.79,2998,-4
40931,119.55,2978,-1
40981,119.19,2975,0
41031,119.22,2990,1
41081,119.23,2959,2
41131,118.64,2960,0
41181,118.39,2970,-1
41231,118.05,2973,-3
41281,117.65,2993,-3
41331,117.35,3003,0
41381,117.21,2991,3
41431,116.83,2975,5
41481,116.35,2969,5
41531,116.14,3001,4
41581,116.03,2995,4
41631,115.81,2970,3
41681,115.39,2960,1
41731,115.15,2966,-2
41781,114.94,2980,-5
41831,115.17,2961,-7
41881,115.21,2975,-8
41931,114.67,2983,-8
41981,114.29,2975,-6
42031,113.98,2983,-3
42081,113.74,2991,0
42131,113.47,2993,2
42181,113.12,2992,5
42231,112.81,2981,7
42281,112.40,2994,7
42331,112.19,3018,7
42381,111.82,2995,9
42431,111.61,3007,9
42481,111.29,3003,9
42531,110.96,2993,8
42581,110.93,2974,5
42631,111.18,2951,0
42681,111.11,2977,-7
42731,110.62,3015,-11
42781,110.18,3011,-10
42831,109.77,3010,-5
42881,109.48,2977,-1
42931,109.21,2959,-1
42981,108.96,2992,-3
43031,108.68,2989,-5
43081,108.30,2977,-5
43131,108.00,3009,-5
43181,107.76,3004,-2
43231,107.54,3015,1
43281,107.24,2992,4
43331,106.94,2989,5
43381,106.80,2991,4
43431,107.12,2993,3
43481,107.31,2986,1
43531,106.99,2995,0
43581,106.48,3024,-1
43631,105.85,3003,0
43681,105.51,3013,2
43731,105.27,2991,4
43781,105.11,2997,3
43831,104.79,3014,2
43881,104.53,3014,1
43931,104.26,3010,2
43981,104.03,2992,2
44031,103.80,3003,0
44081,103.68,3017,0
44131,103.46,2997,-1
44181,103.23,3007,-1
44231,103.26,3011,-2
44281,103.66,2990,-2
44331,103.66,2999,-3
44381,103.07,3003,-4
44431,102.66,2992,-5
44481,102.32,2988,-6
44531,102.02,3013,-6
44581,101.80,3029,-4
44631,101.60,3002,0
44681,101.28,2978,1
44731,101.02,2991,0
44781,100.79,3010,-1
44831,100.56,2985,-2
44881,100.23,3005,-2
44931,100.02,2999,-2
44981,100.06,2999,-1
45031,100.41,3008,0
45081,100.62,2983,0
45131,100.01,2995,0
45181,99.45,3006,0
45230,98.99,3005,0
45279,98.66,3021,2
45328,98.46,3019,5
45377,98.15,3019,7
45426,97.83,2995,8
45475,97.61,3014,7
45524,97.40,3041,7
45573,97.22,2997,6
45622,96.88,2991,4
45671,96.70,3003,0
45720,96.46,3015,-2
45769,96.73,3024,-3
45818,97.29,3007,-2
45867,97.12,2992,-2
45916,96.66,2992,-4
45965,96.34,3018,-5
46014,95.91,3038,-4
46063,95.54,3050,-1
46112,95.25,3049,4
46161,94.91,3024,10
46210,94.49,3023,13
46259,94.18,3024,13
46308,93.94,3018,12
46357,93.78,3005,9
46406,93.61,3006,5
46455,93.38,2999,0
46504,93.61,3007,-3
46553,94.25,2993,-7
46602,94.20,3002,-10
46651,93.96,3024,-11
46700,93.71,3057,-9
46749,93.25,3088,-2
46798,92.98,3120,8
46847,92.60,3111,21
46896,92.32,3058,32
46945,91.78,3037,37
46994,91.41,3033,34
47043,91.13,3014,25
47092,90.86,3003,14
47141,90.66,3009,1
47190,90.44,3006,-10
47239,90.25,3004,-19
47288,90.51,3002,-26
47337,91.40,2977,-30
47386,91.30,2995,-34
47435,91.21,3067,-33
47484,90.99,3167,-24
47533,90.78,3166,-4
47582,90.59,3133,18
47631,90.27,3121,37
47680,90.02,3105,49
47729,89.50,3085,53
47778,88.99,3071,49
47827,88.58,3067,39
47876,88.23,3054,26
47925,88.11,3030,11
47974,87.98,3013,-4
48023,87.72,3021,-19
48072,87.45,3026,-32
48121,87.56,3039,-40
48170,88.40,3054,-42
48219,88.73,3019,-41
48268,88.60,3037,-38
48317,88.64,3152,-32
48366,88.50,3184,-17
48415,88.18,3142,3
48464,87.91,3121,21
48513,87.56,3071,32
48562,87.26,3071,33
48611,86.71,3067,28
48660,86.26,3067,19
48709,85.90,3101,10
48758,85.54,3114,3
48807,85.22,3088,0
48856,84.96,3071,-2
48905,85.14,3069,-5
48954,85.98,3050,-10
49003,86.08,3024,-16
49052,86.13,3121,-21
49101,86.04,3216,-18
49150,85.64,3219,-4
49199,85.39,3189,14
49248,84.95,3126,30
49297,84.74,3109,36
49346,84.30,3121,33
49395,83.81,3125,26
49444,83.26,3111,18
49493,83.06,3071,7
49542,82.77,3093,-4
49591,82.48,3095,-15
49640,82.35,3071,-24
49689,82.92,3088,-30
49738,83.40,3090,-34
49787,83.71,3109,-34
49836,83.61,3279,-27
49885,83.38,3357,-6
49934,82.90,3280,23
49983,82.51,3212,50
50032,82.38,3152,63
50081,82.08,3142,61
50130,81.54,3136,47
50179,81.12,3119,28
50228,80.84,3141,8
50277,80.51,3116,-10
50326,80.21,3094,-26
50375,80.02,3117,-39
50424,79.61,3120,-48
50473,79.66,3081,-52
50522,80.48,3071,-55
50571,81.13,3105,-57
50620,81.09,3251,-51
50669,81.01,3459,-31
50718,80.63,3442,7
50767,80.35,3299,51
50816,80.01,3200,81
50865,79.72,3154,89
50914,79.51,3177,80
50963,79.07,3195,62
51012,78.71,3185,40
51061,78.31,3152,19
51110,78.05,3123,-2
51159,77.74,3120,-23
51208,77.52,3103,-42
51257,77.28,3118,-58
51306,77.25,3130,-69
51355,78.12,3109,-74
51404,78.69,3102,-76
51453,78.85,3271,-71
51502,78.70,3536,-49
51551,78.36,3463,-7
51600,78.00,3275,39
51649,77.69,3179,68
51698,77.52,3152,74
51747,77.31,3159,62
51796,77.00,3184,41
51845,76.52,3177,18
51894,76.28,3135,-2
51943,75.93,3131,-22
51992,75.60,3131,-40
52041,75.32,3093,-55
52090,75.52,3091,-67
52139,76.43,3115,-75
52188,76.71,3120,-78
52237,76.60,3398,-70
52286,76.33,3557,-39
52335,75.86,3376,8
52384,75.51,3211,50
52433,75.30,3169,71
52482,75.18,3172,71
52531,74.88,3158,57
52580,74.48,3152,36
52629,74.13,3170,13
52678,73.78,3146,-6
52727,73.45,3139,-24
52776,73.16,3105,-38
52825,73.09,3110,-51
52874,73.85,3099,-60
52923,74.45,3088,-67
52972,74.35,3317,-65
53021,74.17,3600,-42
53070,73.83,3457,4
53119,73.44,3216,52
53168,73.19,3119,76
53217,73.10,3103,74
53266,72.84,3175,55
53315,72.62,3216,33
53364,72.15,3184,14
53413,71.95,3135,-1
53462,71.57,3102,-17
53511,71.36,3053,-35
53560,71.09,3063,-53
53609,70.97,3103,-68
53658,71.87,3102,-76
53707,72.23,3089,-78
53756,72.31,3379,-68
53805,72.04,3635,-35
53854,71.75,3447,21
53903,71.43,3234,74
53952,71.18,3127,101
54001,70.72,3120,100
54050,70.34,3137,79
54099,69.80,3167,51
54148,69.31,3143,23
54197,68.86,3090,-1
54246,68.54,3071,-26
54295,68.17,3069,-48
54344,67.78,3063,-66
54393,67.45,3059,-79
54442,67.44,3039,-87
54491,68.12,3056,-90
54540,68.13,3158,-86
54589,67.80,3489,-65
54638,67.40,3485,-19
54687,67.05,3222,35
54736,66.62,3094,71
54785,66.40,3071,81
54834,66.17,3094,69
54883,65.77,3109,49
54932,65.39,3120,27
54981,65.03,3106,7
55030,64.64,3062,-9
55079,64.21,3036,-24
55128,63.76,3039,-39
55177,63.04,3045,-51
55226,62.39,3036,-58
55275,61.65,3034,-61
55324,60.01,3289,-55
55373,57.39,3536,-27
55422,53.61,3333,21
55471,49.73,3118,66
55520,45.89,3037,86
55569,42.72,3033,80
55618,39.56,3118,60
55667,36.47,3141,39
55716,33.46,3105,22
55765,30.84,3071,6
55814,28.42,3031,-8
55863,26.12,3029,-23
#SUMMARY_START
BL_W10_T1.2_D2,46112,95,0.980
BL_W10_T1.2_D2,46798,93,0.900
BL_W10_T1.2_D2,47582,91,0.820
BL_W10_T1.2_D2,48415,88,0.740
BL_W10_T1.2_D2,49199,85,0.660
BL_W10_T1.2_D2,49934,83,0.580
BL_W10_T1.2_D2,50718,81,0.500
BL_W10_T1.2_D2,51551,78,0.420
BL_W10_T1.2_D2,52335,76,0.340
BL_W10_T1.2_D2,41381,117,0.260
BL_W10_T1.2_D2,53070,74,0.260
BL_W10_T1.2_D2,29681,137,0.126
BL_W10_T1.2_D2,33731,163,0.126
BL_W10_T1.2_D2,42131,113,0.126
BL_W10_T1.2_D2,53854,72,0.126
BL_W10_T1.2_D2,54638,67,0.050
BL_W10_T1.2_D2,30781,181,0.010
BL_W10_T1.2_D2,34431,160,0.010
BL_W10_T1.2_D2,43231,108,0.010
BL_W10_T1.2_D4,46112,95,0.980
BL_W10_T1.2_D4,46798,93,0.900
BL_W10_T1.2_D4,47582,91,0.820
BL_W10_T1.2_D4,48415,88,0.740
BL_W10_T1.2_D4,49199,85,0.660
BL_W10_T1.2_D4,49934,83,0.580
BL_W10_T1.2_D4,50718,81,0.500
BL_W10_T1.2_D4,51551,78,0.420
BL_W10_T1.2_D4,52335,76,0.340
BL_W10_T1.2_D4,53070,74,0.260
BL_W10_T1.2_D4,41431,117,0.208
BL_W10_T1.2_D4,29681,137,0.126
BL_W10_T1.2_D4,42131,113,0.126
BL_W10_T1.2_D4,53854,72,0.126
BL_W10_T1.2_D4,54638,67,0.050
BL_W10_T1.2_D4,30781,181,0.010
BL_W10_T1.2_D4,34431,160,0.010
BL_W10_T1.2_D4,43231,108,0.010
BL_W10_T1.2_D6,46161,95,0.980
BL_W10_T1.2_D6,46798,93,0.900
BL_W10_T1.2_D6,47582,91,0.820
BL_W10_T1.2_D6,48415,88,0.740
BL_W10_T1.2_D6,49199,85,0.660
BL_W10_T1.2_D6,49934,83,0.580
BL_W10_T1.2_D6,50718,81,0.500
BL_W10_T1.2_D6,51551,78,0.420
BL_W10_T1.2_D6,52335,76,0.340
BL_W10_T1.2_D6,53070,74,0.260
BL_W10_T1.2_D6,29681,137,0.126
BL_W10_T1.2_D6,42181,113,0.126
BL_W10_T1.2_D6,53854,72,0.126
BL_W10_T1.2_D6,54638,67,0.050
BL_W10_T1.2_D6,30831,179,0.010
BL_W10_T1.2_D6,34431,160,0.010
BL_W10_T1.2_D6,43281,107,0.010
BL_W10_T1.2_D8,46161,95,0.980
BL_W10_T1.2_D8,46798,93,0.900
BL_W10_T1.2_D8,47582,91,0.820
BL_W10_T1.2_D8,48415,88,0.740
BL_W10_T1.2_D8,49199,85,0.660
BL_W10_T1.2_D8,49934,83,0.580
BL_W10_T1.2_D8,50718,81,0.500
BL_W10_T1.2_D8,51551,78,0.420
BL_W10_T1.2_D8,52335,76,0.340
BL_W10_T1.2_D8,53070,74,0.260
BL_W10_T1.2_D8,29681,137,0.126
BL_W10_T1.2_D8,53854,72,0.126
BL_W10_T1.2_D8,54638,67,0.050
BL_W10_T1.2_D8,30831,179,0.010
BL_W10_T1.2_D8,42181,113,0.010
BL_W10_T1.2_D10,46161,95,0.980
BL_W10_T1.2_D10,46847,93,0.900
BL_W10_T1.2_D10,47582,91,0.820
BL_W10_T1.2_D10,48415,88,0.740
BL_W10_T1.2_D10,49199,85,0.660
BL_W10_T1.2_D10,49934,83,0.580
BL_W10_T1.2_D10,50718,81,0.500
BL_W10_T1.2_D10,51551,78,0.420
BL_W10_T1.2_D10,52335,76,0.340
BL_W10_T1.2_D10,53070,74,0.260
BL_W10_T1.2_D10,29681,137,0.126
